total_charges,online_security,partner,monthly_charges,tech_support,dependents,contract_Month-to-month,contract_One year,contract_Two year,payment_method_Bank transfer (automatic),payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check,churn
0.03237928716311017,0.0,1.0,0.1231974757617591,0.0,0.0,1,0,0,0,0,1,0,No
0.5921842311746621,1.0,0.0,0.3996686690995073,0.0,0.0,0,1,0,0,0,0,1,No
0.14735378254227854,1.0,0.0,0.3686143332785481,0.0,0.0,1,0,0,0,0,0,1,Yes
0.5864795139742084,1.0,0.0,0.25174103054391683,1.0,0.0,0,1,0,1,0,0,0,No
0.18458221364736632,0.0,0.0,0.5360698062108201,0.0,0.0,1,0,0,0,0,1,0,Yes
0.42758244207179164,0.0,0.0,0.817557161295581,0.0,0.0,1,0,0,0,0,1,0,Yes
0.5990452656585121,0.0,0.0,0.7157479251382728,0.0,1.0,1,0,0,0,1,0,0,No
0.2712232177846031,1.0,0.0,0.12215165893686186,0.0,0.0,1,0,0,0,0,0,1,No
0.7033497566690942,0.0,1.0,0.8669749902501693,1.0,0.0,1,0,0,0,0,1,0,Yes
0.7374169081907508,1.0,0.0,0.39166622377489263,0.0,1.0,0,1,0,1,0,0,0,No
0.37083947291793457,1.0,1.0,0.3293671245992805,0.0,1.0,1,0,0,0,0,0,1,No
0.28221399658729457,0.0,0.0,0.0075600789911771105,0.0,0.0,0,0,1,0,1,0,0,No
0.8702644673877902,0.0,1.0,0.8242845210628509,0.0,0.0,0,1,0,0,1,0,0,No
0.8359129105225676,0.0,0.0,0.8564343903092536,0.0,0.0,1,0,0,1,0,0,0,Yes
0.6727517564370483,1.0,0.0,0.8736785796181066,1.0,0.0,1,0,0,0,0,1,0,No
0.9696341696663329,1.0,1.0,0.9476921530671515,1.0,1.0,0,0,1,0,1,0,0,No
0.467765711850992,0.0,0.0,0.025843097075092414,0.0,0.0,0,1,0,0,0,0,1,No
0.9486737775834233,1.0,0.0,0.8851631649744633,0.0,1.0,0,0,1,1,0,0,0,No
0.353818367148395,0.0,1.0,0.38215294929582233,1.0,1.0,1,0,0,0,1,0,0,Yes
0.589085304469204,0.0,0.0,0.7249489822311211,0.0,0.0,1,0,0,0,0,1,0,No
0.05443696665466308,0.0,0.0,0.2246304725577326,0.0,0.0,1,0,0,0,0,1,0,Yes
0.21895914214006967,0.0,1.0,0.016714885995252227,0.0,0.0,0,1,0,1,0,0,0,No
0.004588649063045902,0.0,0.0,0.02047671631299386,0.0,0.0,1,0,0,0,0,0,1,Yes
0.7386724675308931,0.0,1.0,0.4291106395313349,1.0,0.0,0,0,1,0,1,0,0,No
0.6971449375042599,1.0,1.0,0.42612125962100644,1.0,1.0,1,0,0,0,1,0,0,No
0.5472696135978564,1.0,0.0,0.38315488234943545,0.0,0.0,1,0,0,1,0,0,0,No
0.8195500785914654,0.0,1.0,0.8146729889069859,0.0,1.0,1,0,0,0,0,1,0,Yes
0.033251411213765736,0.0,1.0,0.12685594026815544,0.0,1.0,1,0,0,0,0,1,0,Yes
0.903860795732772,1.0,1.0,0.7268851739719533,1.0,0.0,0,0,1,0,1,0,0,No
0.480298537872966,0.0,0.0,0.47680181492314044,0.0,1.0,1,0,0,0,0,0,1,Yes
0.9220423000177409,1.0,1.0,0.7857971795881832,1.0,0.0,0,0,1,0,1,0,0,No
0.20583439218437177,0.0,1.0,0.7776042626392802,0.0,0.0,1,0,0,0,1,0,0,No
0.5904349200893277,1.0,1.0,0.49115895736697057,1.0,1.0,0,1,0,0,0,0,1,No
0.004754347912562351,0.0,0.0,0.02101375732047711,0.0,0.0,1,0,0,1,0,0,0,No
0.06529836147835699,0.0,0.0,0.2817823527392615,0.0,0.0,1,0,0,1,0,0,0,No
0.9431657759225966,1.0,1.0,0.8199601708663093,1.0,1.0,0,0,1,1,0,0,0,No
0.2779214138844555,0.0,0.0,0.5262171379439274,0.0,0.0,1,0,0,0,0,1,0,Yes
0.7418149628225308,0.0,0.0,0.5763650732772732,0.0,0.0,1,0,0,0,1,0,0,No
0.741883746984103,0.0,0.0,0.8818144395221124,0.0,0.0,1,0,0,0,0,1,0,Yes
0.4824337663440752,0.0,0.0,0.8002428811597435,0.0,0.0,1,0,0,1,0,0,0,Yes
0.3374146077098148,0.0,1.0,0.32532993395775894,0.0,1.0,0,1,0,0,0,0,1,No
0.826658473544738,1.0,1.0,0.5212870917599675,0.0,1.0,0,0,1,0,1,0,0,No
0.3178917852015609,0.0,1.0,0.02691530853653007,0.0,1.0,0,1,0,0,0,0,1,No
0.8260350108339782,1.0,0.0,0.6257850662315114,1.0,0.0,0,0,1,0,1,0,0,No
0.460046661695414,1.0,1.0,0.5900885074149497,1.0,0.0,1,0,0,0,0,1,0,No
0.7668428908710971,0.0,0.0,0.6710962855659143,0.0,0.0,1,0,0,0,0,1,0,No
0.13605034742494532,0.0,0.0,0.322300549476663,0.0,0.0,1,0,0,0,0,0,1,No
0.1787866091749699,0.0,0.0,0.6335934724031926,0.0,0.0,1,0,0,0,0,1,0,Yes
0.7872133947966369,1.0,0.0,0.624808629860699,1.0,0.0,0,0,1,0,1,0,0,No
