total_charges,online_security,partner,monthly_charges,tech_support,dependents,contract_Month-to-month,contract_One year,contract_Two year,payment_method_Bank transfer (automatic),payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check
0.6130657817810459,0.0,0.0,0.3202802450476149,0.0,0.0,1,0,0,1,0,0,0
0.2104450868647147,0.0,0.0,0.3640962168412539,0.0,0.0,1,0,0,0,1,0,0
0.8021962090725265,0.0,1.0,0.6052616745220937,0.0,0.0,1,0,0,0,0,1,0
0.6607316349413417,1.0,1.0,0.3766400427228963,1.0,1.0,0,0,1,1,0,0,0
0.8582305504585802,1.0,1.0,0.8295679830966344,0.0,1.0,0,1,0,0,0,0,1
0.2163355250446619,0.0,0.0,0.2863527276412664,0.0,0.0,1,0,0,0,0,1,0
0.8842784644793027,0.0,1.0,0.8161151516967826,0.0,0.0,0,1,0,1,0,0,0
0.4748364230430479,0.0,0.0,0.7824242446920362,0.0,0.0,1,0,0,0,0,1,0
0.5043736635996053,0.0,1.0,0.8016865894774587,0.0,0.0,1,0,0,0,0,1,0
0.2745801989940382,0.0,1.0,0.0161771155465649,0.0,1.0,0,1,0,0,0,0,1
0.268035498008716,0.0,1.0,0.0059416740448243,0.0,0.0,0,1,0,0,0,0,1
0.2792108325614397,1.0,0.0,0.6287138600799411,0.0,0.0,1,0,0,0,0,1,0
0.6411360750451617,1.0,0.0,0.3776426767142443,1.0,0.0,0,1,0,0,0,1,0
0.9208867701365328,0.0,1.0,0.9090602685599052,1.0,1.0,0,0,1,0,1,0,0
0.5690618330640763,0.0,0.0,0.0732384716084024,0.0,0.0,0,0,1,0,0,0,1
0.4049232487062916,1.0,1.0,0.5812683536798439,0.0,0.0,1,0,0,0,0,1,0
0.6293258680632734,0.0,1.0,0.2772088117218095,0.0,1.0,0,1,0,1,0,0,0
0.5320997987069314,1.0,1.0,0.3167433279997829,0.0,0.0,0,1,0,0,1,0,0
0.9275726333850632,0.0,1.0,0.8679328386681979,0.0,1.0,0,1,0,0,0,1,0
0.1124115878538735,0.0,0.0,0.5925372479350273,0.0,0.0,1,0,0,0,0,1,0
0.0357035917740936,0.0,0.0,0.0151012977007883,0.0,0.0,1,0,0,0,0,1,0
0.072902747705539,0.0,0.0,0.3248251256062502,0.0,0.0,1,0,0,0,0,1,0
0.543892818516945,0.0,0.0,0.6803315392718176,1.0,0.0,1,0,0,0,0,1,0
0.2959775172921295,0.0,0.0,0.6720687600962486,0.0,0.0,1,0,0,0,0,1,0
0.1943925620308232,0.0,1.0,0.624320379407256,0.0,0.0,1,0,0,1,0,0,0
0.4659458169937746,0.0,0.0,0.0247705330705745,0.0,1.0,0,1,0,0,1,0,0
0.1227559888035047,0.0,0.0,0.6759578506838221,0.0,0.0,1,0,0,0,0,1,0
0.0373864940223825,0.0,1.0,0.0220875691397102,0.0,1.0,0,1,0,0,0,0,1
0.5321499431627553,0.0,0.0,0.7094484897939236,0.0,0.0,1,0,0,0,0,1,0
0.3372686996204705,0.0,0.0,0.0700625243067963,0.0,0.0,1,0,0,0,0,0,1
0.0047543479125623,0.0,0.0,0.0210137573204771,0.0,0.0,1,0,0,1,0,0,0
0.8768235857762567,1.0,1.0,0.6228554988033589,1.0,0.0,0,0,1,0,1,0,0
0.460046661695414,1.0,1.0,0.5900885074149497,1.0,0.0,1,0,0,0,0,1,0
0.6474368417822869,0.0,1.0,0.2700880426885405,0.0,1.0,0,1,0,0,0,0,1
0.4312247897958013,1.0,0.0,0.527695667165588,0.0,1.0,1,0,0,0,0,0,1
0.0908011909049736,0.0,0.0,0.0279871691908671,0.0,1.0,1,0,0,0,0,0,1
0.3939972008256203,0.0,0.0,0.0156392528613008,0.0,0.0,1,0,0,0,0,0,1
0.6729656051454431,0.0,0.0,0.8228432231341736,0.0,0.0,0,1,0,0,0,1,0
0.5019475484393343,0.0,1.0,0.013486874963036,0.0,1.0,0,0,1,0,1,0,0
0.00291535963522,0.0,0.0,0.0151012977007883,0.0,0.0,1,0,0,0,0,0,1
0.1212930383861257,0.0,0.0,0.0263792467648091,0.0,0.0,1,0,0,0,1,0,0
0.5378912091202909,0.0,1.0,0.2746665752841613,0.0,0.0,1,0,0,0,1,0,0
0.178589608863896,0.0,1.0,0.5286812295185538,0.0,1.0,1,0,0,0,0,0,1
0.4110383269707194,0.0,0.0,0.6764438963674587,0.0,0.0,1,0,0,0,0,1,0
0.5725860304640664,0.0,0.0,0.7021758594385581,1.0,0.0,0,1,0,0,1,0,0
0.2216024161842194,0.0,0.0,0.3339062692807772,0.0,0.0,1,0,0,0,0,0,1
0.442683983884971,0.0,0.0,0.3298716144683355,0.0,0.0,1,0,0,0,0,0,1
0.8195500785914654,0.0,1.0,0.8146729889069859,0.0,1.0,1,0,0,0,0,1,0
0.455663269415324,0.0,0.0,0.0769404631363188,0.0,1.0,0,1,0,1,0,0,0
0.4554035560891011,0.0,1.0,0.3741328961553405,1.0,1.0,0,1,0,0,1,0,0
0.1850744091513687,0.0,0.0,0.3323935365374655,1.0,0.0,1,0,0,0,0,0,1
0.3755657936686382,1.0,0.0,0.623832107422754,0.0,0.0,1,0,0,0,0,0,1
0.3558172212529948,0.0,0.0,0.0172525644448461,0.0,1.0,0,1,0,0,0,0,1
0.4072074593648731,0.0,0.0,0.019939584936256,0.0,0.0,0,1,0,0,0,0,1
0.8832914905332282,0.0,0.0,0.817557161295581,0.0,0.0,0,0,1,0,0,1,0
0.0823847385913852,0.0,1.0,0.3821529492958223,0.0,0.0,1,0,0,0,0,0,1
0.8841899596680558,1.0,1.0,0.6623403595526988,0.0,1.0,0,0,1,0,1,0,0
0.3072115039240613,1.0,0.0,0.3926669632364337,0.0,0.0,1,0,0,0,0,1,0
0.6161126501940586,1.0,0.0,0.2772088117218095,0.0,0.0,1,0,0,0,0,1,0
0.5097133259519634,1.0,1.0,0.4096606872920602,1.0,1.0,1,0,0,0,0,0,1
0.4778110737467716,0.0,1.0,0.7631336097943462,0.0,0.0,1,0,0,0,0,1,0
0.4130910686682946,0.0,0.0,0.0220875691397102,0.0,1.0,0,1,0,1,0,0,0
0.3017529089592097,1.0,0.0,0.6340813164591088,0.0,0.0,1,0,0,0,0,1,0
0.7763020661865521,0.0,0.0,0.5301593877294783,1.0,0.0,0,0,1,1,0,0,0
0.1403133113196634,1.0,1.0,0.1777826354932881,1.0,0.0,1,0,0,0,0,0,1
0.6567826063370653,1.0,1.0,0.4330948502691356,0.0,1.0,0,1,0,1,0,0,0
0.4019905117133077,1.0,0.0,0.5768555046640058,0.0,0.0,1,0,0,0,0,1,0
0.4438267954428114,0.0,0.0,0.7761579217986034,0.0,0.0,1,0,0,0,0,1,0
0.6702013367972174,1.0,0.0,0.5286812295185538,1.0,0.0,1,0,0,0,0,1,0
0.2879350155490769,1.0,0.0,0.3116875100117223,0.0,0.0,1,0,0,0,0,1,0
0.33025829362114,0.0,1.0,0.0285229685033614,0.0,1.0,0,0,1,0,0,0,1
0.9197774099384398,1.0,1.0,0.7259171158977645,1.0,1.0,0,0,1,1,0,0,0
0.3390450107388592,0.0,0.0,0.5827388912245566,0.0,0.0,1,0,0,0,0,0,1
0.3518761737539732,0.0,1.0,0.2883829976598302,0.0,0.0,1,0,0,1,0,0,0
0.5935139200305363,0.0,1.0,0.0705920305810273,0.0,0.0,0,0,1,1,0,0,0
0.5013053602858787,0.0,0.0,0.0140251089933381,0.0,0.0,0,0,1,0,1,0,0
0.8469080211843517,0.0,1.0,0.8535583165120499,1.0,1.0,0,1,0,1,0,0,0
0.0555514735771308,0.0,1.0,0.2302672783179263,0.0,0.0,1,0,0,0,0,1,0
0.5526552417621282,0.0,0.0,0.5812683536798439,0.0,0.0,1,0,0,0,0,0,1
0.6265335132106734,1.0,0.0,0.8995061067419566,1.0,0.0,1,0,0,1,0,0,0
0.870037623061531,0.0,1.0,0.8559550854522621,0.0,0.0,1,0,0,0,1,0,0
0.3415701364475225,0.0,0.0,0.5207939499644838,0.0,0.0,1,0,0,1,0,0,0
0.1028135397981938,0.0,1.0,0.520300783151618,0.0,1.0,1,0,0,0,0,0,1
0.0052497002976651,0.0,0.0,0.0226243404047026,0.0,0.0,1,0,0,0,0,0,1
0.8717877660140229,1.0,1.0,0.6730411537722722,0.0,0.0,0,0,1,1,0,0,0
0.6061268650627419,0.0,1.0,0.8525994946073758,1.0,1.0,1,0,0,0,0,1,0
0.940472696237708,0.0,1.0,0.8621847802811193,1.0,0.0,0,0,1,1,0,0,0
0.9947128458803526,1.0,1.0,0.9776716728117402,1.0,1.0,0,0,1,0,1,0,0
0.7562003365428248,0.0,1.0,0.4445391959061034,1.0,1.0,0,0,1,1,0,0,0
0.7380287896517821,1.0,0.0,0.5690058302784394,1.0,0.0,0,0,1,0,0,0,1
0.4505046609816949,0.0,0.0,0.3916662237748926,0.0,0.0,0,1,0,0,0,0,1
0.5976209309282602,1.0,1.0,0.6701237300799674,1.0,1.0,1,0,0,0,0,0,1
0.1279506662304533,0.0,0.0,0.7201071768912403,0.0,0.0,1,0,0,0,0,1,0
0.7412932039565803,1.0,1.0,0.6399337916857071,1.0,1.0,1,0,0,0,0,0,1
0.8356647135798105,1.0,0.0,0.937685978341354,1.0,0.0,0,1,0,0,1,0,0
0.7834030334100608,1.0,1.0,0.5099384669619818,1.0,1.0,0,0,1,1,0,0,0
0.7336965290687512,0.0,1.0,0.8286075049182737,0.0,0.0,1,0,0,0,0,1,0
0.7802208354857731,0.0,1.0,0.4330948502691356,1.0,1.0,0,0,1,0,1,0,0
0.586172110692679,1.0,1.0,0.2200145046013294,0.0,1.0,1,0,0,0,0,1,0
0.6983787960490426,1.0,1.0,0.4360817935850979,1.0,0.0,0,1,0,1,0,0,0
0.5636126194460448,1.0,0.0,0.4291106395313349,1.0,0.0,0,1,0,0,0,1,0
0.7482676655118998,1.0,0.0,0.4440419295107432,0.0,0.0,0,0,1,0,0,1,0
0.0739373870590266,0.0,0.0,0.3308804886406524,0.0,0.0,1,0,0,0,0,0,1
0.4688531758078569,0.0,0.0,0.645783230931817,0.0,0.0,1,0,0,0,0,0,1
0.8926258250666022,1.0,1.0,0.7133254494432927,1.0,1.0,0,0,1,0,1,0,0
0.927499829365084,0.0,0.0,0.865538096781362,1.0,0.0,0,1,0,0,1,0,0
0.9637575905048604,1.0,0.0,0.8918582951854243,1.0,0.0,0,0,1,1,0,0,0
0.8260951145542069,0.0,1.0,0.735594309554179,1.0,0.0,0,1,0,0,0,1,0
0.9029731107662808,0.0,0.0,0.6915014042603169,1.0,0.0,0,0,1,1,0,0,0
0.8267984663401291,1.0,0.0,0.9166991536834352,0.0,0.0,0,1,0,0,0,1,0
0.4421156349687593,0.0,0.0,0.7703709530587575,0.0,0.0,1,0,0,0,0,1,0
