total_charges,online_security,streaming_movies,dependents,tech_support,multiple_lines,partner,online_backup,senior_citizen,contract_Two year,internet_service_No,monthly_charges
0.6130657817810459,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3202802450476149
0.2104450868647147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3640962168412539
0.8021962090725265,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0.6052616745220937
0.6607316349413417,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,0,0.3766400427228963
0.8582305504585802,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0.8295679830966344
0.2163355250446619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.2863527276412664
0.8842784644793027,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0.8161151516967826
0.4748364230430479,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.7824242446920362
0.5043736635996053,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0.8016865894774587
0.2745801989940382,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0.0161771155465649
0.268035498008716,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0.0059416740448243
0.2792108325614397,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.6287138600799411
0.6411360750451617,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.3776426767142443
0.9208867701365328,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0,0.9090602685599052
0.5690618330640763,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0.0732384716084024
0.4049232487062916,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0.5812683536798439
0.6293258680632734,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0.2772088117218095
0.5320997987069314,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.3167433279997829
0.9275726333850632,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0.8679328386681979
0.1124115878538735,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0.5925372479350273
0.0357035917740936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0151012977007883
0.072902747705539,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.3248251256062502
0.543892818516945,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0.6803315392718176
0.2959775172921295,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0.6720687600962486
0.1943925620308232,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0.624320379407256
0.4659458169937746,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0247705330705745
0.1227559888035047,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.6759578506838221
0.0373864940223825,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0.0220875691397102
0.5321499431627553,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.7094484897939236
0.3372686996204705,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0.0700625243067963
0.0047543479125623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0210137573204771
0.8768235857762567,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,0.6228554988033589
0.460046661695414,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0.5900885074149497
0.6474368417822869,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0.2700880426885405
0.4312247897958013,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.527695667165588
0.0908011909049736,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0279871691908671
0.3939972008256203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0156392528613008
0.6729656051454431,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0.8228432231341736
0.5019475484393343,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1,0.013486874963036
0.00291535963522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0151012977007883
0.1212930383861257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0263792467648091
0.5378912091202909,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.2746665752841613
0.178589608863896,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0.5286812295185538
0.4110383269707194,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0.6764438963674587
0.5725860304640664,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0.7021758594385581
0.2216024161842194,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.3339062692807772
0.442683983884971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3298716144683355
